code_station;y;ECO_2016;ECO_2017;ECO_2018;BIO_2016;BIO_2017;BIO_2018;PC_2016;PC_2017;PC_2018;CHI_2016;CHI_2017;CHI_2018
05025690;6472650;2;2;U;2;2;U;2;2;3;2;U;U
05025695;6452610;5;5;U;5;5;U;U;U;U;U;U;U
05025740;6445810;3;3;U;U;U;U;3;3;3;U;U;U
05025800;6446070;3;3;U;3;3;U;4;4;5;U;U;U
05025820;6449590;5;5;U;5;5;U;2;2;2;2;2;2
05025830;6449520;5;5;U;5;5;U;2;2;4;2;2;2
05025835;6450150;5;5;U;5;5;U;4;4;5;U;U;U
05025900;6437600;5;5;U;5;5;U;2;3;3;2;2;2
05025940;6429620;3;3;U;U;U;U;4;4;3;U;2;2
05026000;6428860;3;3;U;U;U;U;4;4;5;5;5;5
05027010;6424170;4;4;U;4;4;U;3;3;3;2;2;2
05027040;6425860;2;2;U;U;U;U;2;2;2;U;U;2
05028110;6432560;5;5;U;5;5;U;4;4;4;5;2;2
05028900;6438820;5;5;U;5;5;U;4;4;4;2;2;U
05029000;6440400;3;4;U;3;4;U;4;4;5;2;2;2
05029200;6447450;3;3;U;3;3;U;4;4;4;U;U;U
05029500;6460640;4;4;U;4;4;U;4;3;4;U;U;U
05029650;6436270;5;5;U;5;5;U;2;2;2;U;U;U
05029730;6440484;5;5;U;5;5;U;3;3;3;2;2;U
05029750;6436230;5;5;U;5;5;U;3;4;4;2;2;2
05029760;6437440;5;5;U;5;5;U;4;3;U;U;U;U
05029785;6444560;3;3;U;3;3;U;5;5;5;U;U;U
05029800;6442620;2;2;U;U;U;U;2;2;2;2;2;2
05029820;6448670;5;5;U;5;5;U;5;U;U;U;U;U
05029840;6453590;3;2;U;U;U;U;4;2;4;U;2;2
05029850;6454800;3;3;U;2;2;U;4;4;4;U;U;U
05029860;6457690;3;2;U;2;2;U;4;2;2;U;U;U
05029870;6460090;3;3;U;2;2;U;4;3;4;U;U;U
05029900;6464700;3;3;U;U;U;U;4;4;4;2;2;2
05029950;6465780;3;3;U;2;2;U;5;3;5;U;U;U
05029955;6472420;3;3;U;3;3;U;U;U;U;U;U;U
05029960;6477050;5;5;U;5;5;U;4;4;4;U;U;U
05029980;6466860;3;3;U;1;1;U;2;2;4;5;5;U
05030000;6442790;3;3;U;3;3;U;3;3;3;2;2;2
05030310;6450120;4;4;U;4;4;U;U;U;U;U;U;U
05030500;6450950;3;3;U;U;U;U;5;5;4;2;2;2
05030600;6453880;3;3;U;3;3;U;4;4;5;U;U;U
05030700;6457760;4;4;U;4;4;U;5;5;5;U;U;U
05031000;6462280;2;2;U;2;2;U;2;2;2;5;2;2
05031050;6463660;2;2;U;2;2;U;2;2;3;2;2;2
05031100;6468120;3;3;U;3;3;U;3;3;3;5;2;2
05031120;6472680;4;3;U;4;3;U;2;2;2;2;2;U
05031300;6480640;2;3;U;2;2;U;2;3;3;U;U;U
05031350;6482720;4;4;U;4;4;U;3;4;4;2;2;2
05031380;6485190;3;3;U;3;3;U;2;3;3;U;U;U
05031600;6487730;3;3;U;3;3;U;2;2;2;2;2;2
05031820;6461280;2;2;U;2;2;U;2;2;2;U;U;U
05031850;6458640;2;2;U;2;2;U;2;2;2;2;2;2
05031900;6463860;3;2;U;3;2;U;2;2;2;5;5;2
05032100;6471630;4;4;U;4;4;U;4;4;4;2;2;2
05032800;6470360;3;4;U;3;4;U;2;2;2;2;2;2
05032900;6479480;2;2;U;1;1;U;2;2;2;2;2;2
05033190;6486000;3;3;U;3;3;U;2;2;2;U;U;U
05033200;6485390;2;2;U;2;2;U;2;2;2;2;2;2
05033220;6488700;2;2;U;2;2;U;2;2;2;U;U;U
05033300;6492420;2;2;U;2;2;U;2;2;2;2;2;U
05033350;6491210;2;2;U;2;2;U;2;2;2;2;2;U
05033380;6489060;2;2;U;2;2;U;2;2;2;2;2;U
05033400;6491210;3;3;U;3;3;U;2;3;3;2;2;U
05033500;6467090;3;3;U;3;3;U;2;3;2;2;2;2
05033505;6465080;3;3;U;3;3;U;3;3;3;2;2;U
05033510;6466730;3;3;U;3;3;U;3;3;3;2;2;2
05033515;6465270;5;5;U;5;5;U;3;3;2;U;U;U
05033517;6465270;3;3;U;U;U;U;4;3;3;2;2;2
05033519;6465080;U;3;U;U;U;U;2;4;4;2;2;2
05033520;6465310;4;4;U;4;4;U;2;2;2;5;2;2
05033521;6464710;3;U;U;U;U;U;3;2;2;2;2;2
05033522;6464100;U;U;U;U;U;U;2;2;2;2;2;2
05033524;6463580;3;3;U;U;U;U;3;5;5;2;2;2
05033525;6466060;3;4;U;3;4;U;2;3;3;2;2;U
05033530;6465420;4;4;U;4;4;U;2;4;3;2;2;U
05033542;6462740;U;U;U;U;U;U;2;2;2;2;2;2
05033544;6461620;3;U;U;U;U;U;3;2;2;2;2;2
05033545;6460740;3;3;U;U;U;U;4;2;2;2;2;2
05033546;6460710;3;U;U;U;U;U;3;2;2;2;2;2
05033547;6461730;3;3;U;U;U;U;3;3;3;2;2;2
05033549;6460790;U;U;U;U;U;U;2;2;2;2;2;2
05033550;6460220;3;3;U;U;U;U;3;3;3;2;2;2
05033560;6464590;4;4;U;4;4;U;2;2;2;U;U;U
05033570;6464800;5;5;U;5;5;U;3;3;3;2;2;2
05033580;6465360;2;2;U;2;2;U;2;2;2;U;U;U
05033590;6467820;3;3;U;1;1;U;4;4;2;U;U;U
05033650;6471030;2;2;U;2;2;U;2;2;2;U;U;U
05033680;6471980;3;2;U;2;2;U;3;2;2;2;2;2
05033685;6477270;3;2;U;2;2;U;3;2;3;2;2;U
05033700;6473380;2;2;U;2;2;U;1;1;1;2;2;2
05033800;6476850;3;3;U;3;3;U;2;2;2;U;U;U
05033850;6477830;2;3;U;2;2;U;2;4;4;U;U;U
05034700;6483170;3;3;U;3;3;U;2;2;2;2;2;U
05034800;6490930;2;2;U;1;1;U;2;2;2;U;U;U
05034850;6497740;2;1;U;2;1;U;1;1;2;U;U;U
05034855;6478070;3;2;U;3;2;U;2;2;2;U;U;U
05035000;6488340;3;3;U;3;3;U;2;2;2;5;5;2
05035005;6490560;U;2;U;2;2;U;U;2;2;U;U;U
05035050;6494950;U;2;U;1;2;U;U;1;2;U;U;U
05035200;6493080;2;2;U;2;2;U;2;2;2;U;U;U
05035212;6494670;U;3;U;1;1;U;U;5;2;U;U;U
05035217;6496410;U;5;U;2;5;U;U;2;2;U;U;U
05035250;6499140;U;2;U;1;1;U;U;2;2;U;U;U
05035262;6502460;U;3;U;1;2;U;U;4;2;U;U;U
05035270;6504050;U;1;U;1;1;U;U;1;1;U;U;U
05035300;6502850;3;2;U;3;2;U;1;2;2;2;2;2
05035400;6505120;2;2;U;2;2;U;2;2;2;2;2;U
05035410;6503430;U;2;U;1;1;U;U;2;2;U;U;U
05035430;6503770;U;5;U;1;5;U;U;2;3;U;U;U
05035440;6505650;U;5;U;2;5;U;U;2;2;U;U;U
05036000;6440750;3;3;U;3;3;U;2;2;2;2;2;2
05036500;6440630;3;3;U;3;3;U;2;2;2;U;U;U
05036700;6441060;5;5;U;5;5;U;4;4;4;2;2;U
05037000;6440500;3;3;U;3;3;U;2;2;2;2;2;2
05038000;6440500;3;3;U;3;3;U;2;2;2;2;2;2
05038010;6438760;3;2;U;3;2;U;2;2;2;2;2;2
05038020;6444450;2;2;U;2;1;U;2;2;2;2;2;2
05038050;6446340;2;2;U;2;2;U;2;2;2;2;2;2
05038090;6452950;2;2;U;2;2;U;2;2;2;U;U;U
05038100;6448530;3;3;U;3;3;U;2;2;2;5;5;U
05039000;6455400;4;4;U;4;4;U;2;2;2;2;2;2
05039150;6458940;2;2;U;2;2;U;2;2;2;2;2;U
05039200;6456170;3;3;U;3;3;U;2;2;2;2;2;2
05040000;6453460;3;3;U;3;3;U;U;U;U;U;U;U
05040100;6450760;2;2;U;2;2;U;2;2;2;2;2;U
05041000;6458250;3;3;U;3;3;U;1;2;2;2;2;2
05042000;6456690;3;3;U;3;3;U;2;2;2;2;2;2
05042050;6473250;2;2;U;2;2;U;2;2;2;2;2;2
05042060;6478370;2;2;U;1;2;U;1;2;2;2;2;2
05042065;6482010;3;3;U;3;3;U;U;U;U;U;U;U
05042070;6485860;2;2;U;2;2;U;1;1;2;2;2;U
05042071;6492720;2;2;U;1;2;U;2;2;2;U;U;U
05042072;6490090;3;3;U;2;2;U;2;2;2;2;2;U
05042073;6495560;3;2;U;U;1;U;3;2;3;2;5;5
05042074;6490990;3;3;U;U;1;U;2;2;2;2;2;2
05042080;6482460;4;3;U;4;3;U;2;2;2;2;2;2
05042085;6481100;3;3;U;3;3;U;2;2;2;2;2;2
05042090;6482010;2;2;U;U;U;U;2;2;2;U;U;U
05042095;6485840;2;2;U;2;2;U;2;2;2;2;2;U
05042930;6460500;3;3;U;3;3;U;2;2;2;U;U;U
05042950;6470590;2;2;U;2;2;U;2;2;2;U;U;U
05043000;6471320;2;2;U;2;2;U;2;2;2;2;2;2
05043050;6477240;3;3;U;3;3;U;2;2;2;2;2;2
05043300;6489830;3;4;U;3;4;U;2;3;3;2;2;2
05044000;6474140;3;3;U;3;3;U;2;2;2;2;2;2
05044200;6488820;2;2;U;2;2;U;2;2;2;U;U;U
05044232;6487050;2;2;U;2;2;U;2;1;2;U;U;U
05044250;6482260;2;2;U;1;1;U;2;2;2;2;2;2
05044300;6497090;3;3;U;3;3;U;2;2;2;2;2;2
05044310;6498900;3;3;U;3;3;U;2;2;2;U;U;U
05044950;6418460;2;2;U;2;2;U;2;2;2;U;2;2
05045000;6419900;3;3;U;U;U;U;3;3;3;U;U;U
05045050;6421420;2;2;U;2;2;U;2;2;3;U;U;U
05045100;6417230;3;3;U;3;3;U;2;2;2;2;2;2
05045110;6416600;U;3;U;U;3;U;U;U;5;U;U;5
05045128;6408920;U;2;U;U;2;U;U;U;3;U;U;5
05045130;6407570;U;2;U;U;2;U;U;U;2;U;U;5
05045170;6416530;4;4;U;4;4;U;U;U;5;U;U;5
05045185;6411270;3;4;U;3;4;U;U;U;4;U;U;5
05045186;6410790;U;4;U;U;4;U;U;U;U;U;U;U
05045190;6410020;5;5;U;5;5;U;U;U;U;U;U;U
05045200;6418240;3;4;U;U;4;U;4;2;4;U;U;U
05045250;6425390;5;5;U;5;5;U;4;4;4;2;5;2
05045400;6421100;4;4;U;4;4;U;4;4;4;2;2;2
05046000;6417800;3;3;U;3;3;U;1;2;2;2;2;2
