eu_cd;2010;2013;2016
FRFRR134_7;1;1;2
FRFRR134_8;1;1;2
FRFRR135A_1;2;3;3
FRFRR135B_1;5;3;3
FRFRR136_2;2;2;2
FRFRR136_3;1;1;2
FRFRR136_4;3;2;2
FRFRR137_2;3;3;3
FRFRR137_3;3;3;3
FRFRR137_4;3;3;2
FRFRR137_6;2;2;2
FRFRR137_7;3;3;3
FRFRR138_1;1;1;2
FRFRR139_1;1;1;2
FRFRR139_10;3;3;3
FRFRR139_11;2;2;2
FRFRR139_2;2;3;3
FRFRR139_3;1;1;2
FRFRR139_4;1;1;3
FRFRR139_5;1;1;2
FRFRR139_7;2;3;3
FRFRR139_8;1;1;2
FRFRR139_9;1;1;2
FRFRR140_1;2;2;2
FRFRR14_1;3;3;3
FRFRR14_2;3;3;2
FRFRR142A_1;3;3;3
FRFRR142A_3;3;3;3
FRFRR142B_1;2;3;3
FRFRR142B_11;3;3;3
FRFRR142B_12;3;3;3
FRFRR142B_2;2;2;2
FRFRR142B_3;2;2;2
FRFRR142B_4;2;2;2
FRFRR142B_5;3;3;3
FRFRR142B_7;3;3;3
FRFRR142B_8;3;3;3
FRFRR143_1;2;2;2
FRFRR144_1;2;2;2
FRFRR145A_1;3;2;2
FRFRR146_1;2;2;2
FRFRR147_1;2;2;2
FRFRR147_2;2;2;2
FRFRR147_3;2;2;2
FRFRR147_4;2;3;3
FRFRR147_5;2;2;2
FRFRR147_6;3;2;2
FRFRR148A_1;2;2;2
FRFRR148B_1;2;2;2
FRFRR148B_2;1;1;2
FRFRR149_1;2;3;2
FRFRR149_3;2;2;2
FRFRR149_4;2;2;2
FRFRR150_2;3;2;2
FRFRR15_1;3;3;3
FRFRR151_10;3;3;3
FRFRR151_11;2;3;3
FRFRR151_12;2;2;2
FRFRR151_2;3;3;3
FRFRR151_3;4;3;3
FRFRR151_4;3;3;3
FRFRR151_5;3;3;3
FRFRR151_7;5;3;3
FRFRR151_8;2;2;2
FRFRR151_9;2;3;3
FRFRR15_2;3;3;3
FRFRR152A_1;3;3;3
FRFRR152A_10;3;3;3
FRFRR152A_11;3;3;3
FRFRR152A_2;3;3;3
FRFRR152A_3;2;3;3
FRFRR152A_4;3;3;3
FRFRR152A_5;4;3;3
FRFRR152A_6;3;3;3
FRFRR152A_7;3;3;3
FRFRR152A_8;3;3;3
FRFRR152A_9;3;3;3
FRFRR152B_2;2;2;2
FRFRR152B_4;2;3;3
FRFRR15_3;3;3;3
FRFRR153_1;5;3;3
FRFRR153_2;3;3;3
FRFRR153_3;3;3;3
FRFRR153_4;3;3;3
FRFRR153_5;3;3;4
FRFRR153_6;4;3;3
FRFRR153_7;3;3;3
FRFRR153_8;3;3;3
FRFRR153_9;5;3;3
FRFRR15_4;4;4;5
FRFRR154_1;3;3;3
FRFRR154_3;2;3;3
FRFRR155_1;3;3;3
FRFRR155_10;4;3;3
FRFRR155_2;3;2;2
FRFRR155_3;3;3;3
FRFRR155_4;3;3;3
FRFRR155_5;3;2;2
FRFRR155_6;3;3;3
FRFRR155_7;3;3;3
FRFRR155_8;2;3;3
FRFRR155_9;5;3;3
FRFRR156_1;2;3;3
FRFRR156_2;3;3;3
FRFRR156_3;3;3;3
